,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
322,380,Fushigi Yuugi OVA,7.14,"['Adventure', 'Fantasy', 'Romance']","Having concluded their adventure inside the mystical book The Universe of the Four Gods, Miaka Yuuki and Yui Hongo resume their ordinary lives with but one exception: upon returning to the real world, Miaka is permitted to bring her beloved Tamahome along with her. 

Unfortunately, shortly afterward, new troubles threaten the couple's hard-earned happiness. During a visit to the graves of the two other girls who had traveled inside The Universe of the Four Gods, Tamahome is engulfed by a red light and disappears right before Miaka's eyes. Witnessing the puzzling incident, her brother Keisuke and his best friend Tetsuya Kajiwara resolve to help the heartbroken Miaka find her boyfriend again. 

Meanwhile, Tamahome has been brought back into the book, only to discover that 50 years had passed since his departure. To his surprise, he learns that he has now switched identities with his former enemy, Nakago. Will the two lovers triumph over these adversities to reunite once more, or are they doomed to remain separated forever?


Fushigi Yuugi Otsukare Ian Bus Ryokou: Kindan no Josei Onsen-hen
The Celestial Warriors of gods Suzaku and Seiryuu, alongside their priestesses, Miaka Yuuki and Yui Hongo, are granted a bus trip to a special hot spring resort to enjoy some leisure time. Despite the extensive journey, the lively party spices up the experience by playing mischievous tricks on each other, completely unaware of the surprise awaiting them at their destination.",OVA,3.0,"Oct 25, 1996 to Feb 25, 1997",Finished Airing,"Bandai Visual, Movic","Media Blasters, Geneon Entertainment USA",Pierrot,Manga,28,PG-13 - Teens 13 or older,3328.0,4322,51,11968.0,22731,1996-10-25,1997-02-25
324,382,Futari Ecchi,6.32,"['Comedy', 'Romance', 'Ecchi']","Makoto and Yura Onoda are a newly-wed couple with zero sexual experience. Yura is a shy and naive 25-year-old woman whose good looks grab men's attention, something that she dislikes because she gets embarrassed very easily. Her husband Makoto is of the same age, but as opposed to his wife, he loves having dirty thoughts about other women. Physically though, Makoto is truly faithful to Yura.

Both of them may be virgins, but now that they are married, they are ready to dive into the world of sex, ""practicing"" as often as possible. However, the world of sex is complex, so they need all the help they can get to find their way through it. Thankfully, their friends, acquaintances, and porn media lend them a helping hand.",OVA,4.0,"Jul 26, 2002 to Jan 22, 2004",Finished Airing,Half H.P Studio,Media Blasters,Chaos Project,Manga,27,R+ - Mild Nudity,7270.0,3501,60,17060.0,35680,2002-07-26,2004-01-22
325,383,Galaxy Angel,7.03,"['Comedy', 'Sci-Fi']","The Angel Brigade, an elite branch of the Transbaal Empire military, are assigned to search for The Lost Technology, mysterious items from the past that hold unknown powers. Led by the soon to retire Colonel Volcott O' Huey, the Angel Brigade travel to different planets using their specially designed Emblem Frame ships to search for Lost Technology. Unfortunately, they usually mess up somehow and end up getting into all kinds of weird and troublesome situations.

(Source: ANN)",TV,24.0,"Apr 8, 2001 to Sep 30, 2001",Finished Airing,"Bandai Visual, Broccoli, Studio Jack","Nozomi Entertainment, Bandai Entertainment",Madhouse,Game,13,PG-13 - Teens 13 or older,3881.0,3917,185,11305.0,28205,2001-04-08,2001-09-30
326,384,Gantz,6.99,"['Action', 'Drama', 'Horror', 'Sci-Fi']","Thought your life was bad? Sometimes, death is worse. There is no salvation, peace, nor god waiting to receive you into their care. But wait, a god? Maybe you are talking about that big black ball stuck in the room with you. Now you are thrown into a game, fighting green aliens and robot monsters for the chance to survive.

When Kei Kurono is killed, he thus finds himself caught in such a game—a test of his skills, morals, and will to survive. His life is not his own; his death is spat and trampled upon over and over again. What happens if he does not listen? God knows.

A word of warning: Gantz is not for the faint-hearted, but neither is it as simple as it looks. Gore, rape, and violence is rampant, as are portrayals of greed, violence, and all the ugliness that one sees in society today.",TV,13.0,"Apr 13, 2004 to Jun 22, 2004",Finished Airing,Fuji TV,"ADV Films, Funimation",Gonzo,Manga,22,R+ - Mild Nudity,4033.0,626,2360,175072.0,347630,2004-04-13,2004-06-22
327,385,Gilgamesh,6.63,"['Drama', 'Fantasy', 'Sci-Fi']","In an attempt to gather information on immortality, scientists from around the world have assembled to study ""Heaven's Gate""—the tomb turned laboratory of the mythical king Gilgamesh. But soon enough, the research is deemed unethical and all planned work comes to a halt. However, a group of terrorists pay this no thought and storm into Heaven's Gate, ultimately causing an explosion that leads to the collapse of the advanced information civilization.

Many years after the incident, the siblings Tatsuya and Kiyoko Madoka are on the run from thugs. Yet this seems to be the least of their worries as they find themselves in the midst of a war between two powerful cryptic factions. With both groups claiming to fight for the betterment of society, Tatsuya and Kiyoko will have to find a way to decide who to trust.",TV,26.0,"Oct 2, 2003 to Mar 18, 2004",Finished Airing,Kansai Telecasting,ADV Films,"Group TAC, Japan Vistec",Manga,23,R - 17+ (violence & profanity),5679.0,3288,180,11189.0,39999,2003-10-02,2004-03-18
329,387,Haibane Renmei,7.97,"['Drama', 'Fantasy', 'Mystery']","Born from a cocoon in the village of Old Home, a young Haibane—a being with a halo and small gray wings—awakens to a world she does not understand without memories of her past. Named Rakka for the dream of falling she had while inside the cocoon, she soon becomes accustomed to life in the strange town. However, there are strict rules for the Haibane, such as being forbidden to leave the village or go near the walls surrounding it. These, along with mysterious disappearances of their kind on their ""Day of Flight,"" begin to unsettle Rakka and the others since they know almost nothing about their own kind.
 
Haibane Renmei tells not only Rakka's story but also of those around her, as they live their lives with no memories of the past while trying to break free from their former pain and ultimately find salvation.",TV,13.0,"Oct 10, 2002 to Dec 19, 2002",Finished Airing,"Kadokawa Shoten, Fuji TV, Studio Tulip","Funimation, Geneon Entertainment USA",Radix,Other,24,PG-13 - Teens 13 or older,617.0,825,7306,97535.0,272068,2002-10-10,2002-12-19
331,389,Karas,7.37,"['Action', 'Fantasy', 'Sci-Fi']","The world of the humans and the world of the demons (youkai) have overlapped one another, leaving humans to walk the streets of life as they normally would, while demons walk, hidden from the naked eye, down the very same streets. A seemingly young woman named Yurine and her servant, the Karas (from the Japanese word for ""Crow""), have long maintained order and balance between the overlapped worlds, ultimately keeping the demons from interrupting the lives of humans. However, humans have come to forget and jest at the existence of demons, and no longer understand the privilege it is to live without fear. Disgusted by this arrogance, an old Karas turns his back on the laws he had once upheld, and in his human form, named Eko, he creates an army of Mikura, or mechanized demons, to ready an attack on the human race.

A young man named Otoha inherits the powers of the Karas and takes his place at the side of Yurine, who claims that his soul called out for her while he lived the life of a human. They live in the world of the demons. It is now up to Otoha to prove himself as a Karas, and restore the balance that Eko threatens to upset.

Meanwhile, a superstitious police officer named Sagisaka and his rational new recruit, Kure, follow the trail of the murders dealt by Eko's Mikura, as well as the trail of a rogue Mikura named Nue. The prophecy unfolds from here into a grave revelation for all in the city.

(Source: Wikipedia)",OVA,6.0,"Mar 25, 2005 to Oct 26, 2007",Finished Airing,Showgate,Manga Entertainment,Tatsunoko Production,Original,30,R - 17+ (violence & profanity),2193.0,2571,317,27803.0,63031,2005-03-25,2007-10-26
332,390,Suzuka,7.18,"['Drama', 'Romance', 'Sports']","Teenager Yamato Akitsuki has moved from the Hiroshima countryside to Tokyo to begin his high school career. In return for room and board, he has agreed to help his aunt and cousin run their bathhouse and the adjacent girls-only dormitory where he will be staying. On his way to meet his relatives, he passes by a local high school track and is mesmerized by a high jumper practicing her technique.

Later on, Yamato finds out that the high jumper is not just another resident of the dorm, but is also his neighbor. Suzuka Asahina is a heavily scouted track and field athlete who is attending the same high school he is enrolled in. A perfectionist by nature, Suzuka is put off by Yamato's clumsy and carefree attitude and finds it difficult to be near him.

Determined to win her over, Yamato joins the track team after discovering his hidden talent for sprinting. Through his interactions with the track team, his classmates, and the ever-inebriated college students in the dorm, Yamato finds the resolve to become a better athlete and a more suitable companion to Suzuka, even if it means pushing himself to the point of exhaustion.",TV,26.0,"Jul 7, 2005 to Dec 29, 2005",Finished Airing,"Marvelous, Starchild Records, Studio Jack",Funimation,Studio Comet,Manga,23,PG-13 - Teens 13 or older,3141.0,1777,640,53470.0,113681,2005-07-07,2005-12-29
333,391,Tales of Phantasia The Animation,6.79,"['Adventure', 'Fantasy']","Tragedy strikes the lives of Cless Alvein, a young swordsman, and Chester Barklight, a young archer, as they return to their village of Totus to find it razed to the ground by the mysterious Black Knight. To take over the world, the Black Knight seeks to claim the power of the Demon King, Dhaos—sealed away by the ancestors of Cless and a young cleric named Mint Adnade. Dhaos's reawakening signals not only the end of the Black Knight, but potentially the world. Cless and Mint must now journey a century into the past to rally allies capable of vanquishing the Demon King for once and for all.

Tales of Phantasia The Animation follows Cless and Mint's journey through time to long ago, where they forge an alliance with the half-elf sorceress Arche Klaine and the summoner Klarth F. Lester. Together, they strive to defeat Dhaos and his army in saving the past as well as the years to come.",OVA,4.0,"Nov 25, 2004 to Feb 24, 2006",Finished Airing,"Geneon Universal Entertainment, Frontier Works","Discotek Media, Geneon Entertainment USA",Actas,Game,30,PG-13 - Teens 13 or older,4882.0,4322,48,10444.0,22724,2004-11-25,2006-02-24
334,392,Yuu☆Yuu☆Hakusho,8.46,"['Action', 'Fantasy']","One fateful day, Yuusuke Urameshi, a 14-year-old delinquent with a dim future, gets a miraculous chance to turn it all around when he throws himself in front of a moving car to save a young boy. His ultimate sacrifice is so out of character that the authorities of the spirit realm are not yet prepared to let him pass on. Koenma, heir to the throne of the spirit realm, offers Yuusuke an opportunity to regain his life through completion of a series of tasks. With the guidance of the death god Botan, he is to thwart evil presences on Earth as a Spirit Detective.

To help him on his venture, Yuusuke enlists ex-rival Kazuma Kuwabara, and two demons, Hiei and Kurama, who have criminal pasts. Together, they train and battle against enemies who would threaten humanity's very existence.",TV,112.0,"Oct 10, 1992 to Jan 7, 1995",Finished Airing,"Yomiko Advertising, Fuji TV",Funimation,Pierrot,Manga,24,PG-13 - Teens 13 or older,142.0,287,21733,315654.0,654301,1992-10-10,1995-01-07
